species	OTU
JN790694-1-1534-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-cytotoxicus	otu42
JN411285-1-1460-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-pseudomycoides	otu43
JQ086380-1-1462-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Clostridium-acetobutylicum	otu44
JN084083-1-1200-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-sp-GI2-ROC-	otu45
JN053271-1-1420-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-cereus	otu46
JN084030-1-1340-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-thuringiensis	otu47
KY636445-1-1490-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-mycoides	otu48
JNLY01000091-33-1587-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-weihenstephanensis	otu49
JX843381-1-1241-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-methanolicus	otu50
JN084146-1-1418-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-megaterium	otu51
JN366734-1-1445-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-coagulans	otu52
JN082265-1-1500-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-pumilus	otu53
KY649417-1-1446-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-atrophaeus	otu54
KU230018-1-1494-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-licheniformis	otu55
KY631529-1-1398-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Geobacillus-stearothermophilus	otu56
AP012495-6551814-6553364-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Synechocystis-sp-PCC-6803	otu57
JN086143-1-1446-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-amyloliquefaciens	otu58
JN054738-1-1445-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-subtilis	otu59
AF542087-1-1472-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-halodurans	otu60
NR_075008-1-Bacillus-selenitireducens-MLS10-16S-ribosomal-RNA-partial-sequence	otu61
X62171-1-1440-Bacteria-Firmicutes-Bacilli-Bacillales-Marinococcaceae-Marinococcus-Marinococcus-halophilus	otu62
JQ319523-1-1442-Bacteria-Firmicutes-Bacilli-Bacillales-Salisediminibacteriaceae-Salipaludibacillus-Bacillus-cellulosilyticus	otu63
JN566125-1-1408-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-pseudofirmus	otu64
KU230014-1-1417-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus-clausii	otu65
JQ267733-1-1459-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Anoxybacillus-Anoxybacillus-flavithermus	otu66
BAWP01000055-2-1563-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Geobacillus-Geobacillus-thermoglucosidasius-NBRC-107763	otu67
JN315634-1-1508-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Geobacillus-Geobacillus-thermodenitrificans	otu68
X60618-7-1431-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Geobacillus-Geobacillus-kaustophilus	otu69
JN088182-1-1292-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Geobacillus-Geobacillus-sp-WBI	otu70
EU682501-1-1430-Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Geobacillus-Thermus-aquaticus	otu71
JN107748-1-1414-Bacteria-Firmicutes-Bacilli-Exiguobacterales-Exiguobacteraceae-Exiguobacterium-Exiguobacterium-arabatum	otu72
KJ801597-1-1265-Bacteria-Firmicutes-Bacilli-Exiguobacterales-Exiguobacteraceae-Exiguobacterium-Exiguobacterium-sibiricum	otu73
KU229998-1-1291-Bacteria-Firmicutes-Bacilli-Exiguobacterales-Exiguobacteraceae-Exiguobacterium-Exiguobacterium-sp-CAWT7	otu74
JN411375-1-1271-Bacteria-Firmicutes-Bacilli-Brevibacillales-Brevibacillaceae-Brevibacillus-Brevibacillus-brevis	otu75
JN052148-1-1354-Bacteria-Firmicutes-Bacilli-Paenibacillales-Paenibacillaceae-Paenibacillus-Paenibacillus-sp-TSR47	otu76
EF028080-1-1468-Bacteria-Firmicutes-Bacilli-Paenibacillales-Paenibacillaceae-Paenibacillus-Paenibacillus-curdlanolyticus	otu77
X60619-7-1431-Bacteria-Firmicutes-Bacilli-Paenibacillales-Paenibacillaceae-Paenibacillus-Paenibacillus-larvae	otu78
JN084141-1-1405-Bacteria-Firmicutes-Bacilli-Paenibacillales-Paenibacillaceae-Paenibacillus-Paenibacillus-polymyxa	otu79
KC113142-1-1409-Bacteria-Firmicutes-Bacilli-Paenibacillales-Paenibacillaceae-Paenibacillus-Paenibacillus-vortex	otu80
AJ417499-1-1563-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Companilactobacillus-Lactobacillus-farciminis	otu81
JN043518-1-1483-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactiplantibacillus-Lactobacillus-plantarum	otu82
KU220239-1-1425-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Levilactobacillus-Lactobacillus-brevis	otu83
MF354303-1-1356-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lentilactobacillus-Lactobacillus-hilgardii	otu84
KM112088-1-1449-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lentilactobacillus-Lactobacillus-amylovorus	otu85
JN188385-1-1537-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lentilactobacillus-Lactobacillus-buchneri	otu86
EU331309-1-1561-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Pediococcus-Pediococcus-damnosus	otu87
JN255181-1-1440-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Pediococcus-Pediococcus-acidilactici	otu88
JN162679-1-1280-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Pediococcus-Pediococcus-pentosaceus	otu89
AF522394-1-1588-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Limosilactobacillus-Lactobacillus-fermentum	otu90
AJ292530-41-1371-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Limosilactobacillus-Lactobacillus-coleohominis	otu91
AY253659-1-1520-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Limosilactobacillus-Lactobacillus-antri	otu92
X94229-1-1512-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Limosilactobacillus-Lactobacillus-oris	otu93
JN202928-1-1489-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Limosilactobacillus-Lactobacillus-vaginalis	otu94
JN183871-1-1408-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Limosilactobacillus-Lactobacillus-reuteri	otu95
EU559601-1-1567-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-jensenii	otu96
JN231309-1-1443-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-delbrueckii-subsp-bulgaricus	otu97
FR683095-1-1443-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-amylolyticus	otu98
JN188382-1-1528-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-acidophilus	otu99
AB008210-1-1552-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-helveticus	otu100
AB008206-1-1556-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-crispatus	otu101
AY253660-1-1550-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-ultunensis	otu102
Y16329-1-1539-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-iners	otu103
JN315661-1-1459-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-gasseri	otu104
AJ002515-1-1487-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lactobacillus-Lactobacillus-johnsonii	otu105
MF354294-1-1418-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Latilactobacillus-Lactobacillus-curvatus	otu106
MF357638-1-1413-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Latilactobacillus-Lactobacillus-sakei	otu107
AF526388-1-1562-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lacticaseibacillus-Lactobacillus-casei	otu108
KU234270-1-1351-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lacticaseibacillus-Lactobacillus-paracasei	otu109
JN415185-1-1423-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Lacticaseibacillus-Lactobacillus-rhamnosus	otu110
JQ805653-1-1598-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Ligilactobacillus-Lactobacillus-ruminis	otu111
AJ251560-1-1356-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Ligilactobacillus-Lactobacillus-acidipiscis	otu112
JN188392-1-1524-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Ligilactobacillus-Lactobacillus-salivarius	otu113
AJ301843-1-1549-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Tetragenococcus-Tetragenococcus-halophilus	otu114
MF429020-1-1398-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Enterococcus-Enterococcus-italicus	otu115
JN400333-1-1298-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Enterococcus-Enterococcus-casseliflavus	otu116
JN102572-1-1472-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Enterococcus-Enterococcus-gallinarum	otu117
JN102567-1-1465-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Enterococcus-Enterococcus-faecalis	otu118
MF425285-1-1409-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Enterococcus-Weissella-paramesenteroides	otu119
AF529204-1-1544-Bacteria-Firmicutes-Bacilli-Lactobacillales-Enterococcaceae-Enterococcus-Enterococcus-faecium	otu120
KU230004-1-1291-Bacteria-Firmicutes-Bacilli-Lactobacillales-Carnobacteriaceae-Carnobacterium-Carnobacterium-sp-CAWP2	otu121
AJ312375-1-1456-Bacteria-Firmicutes-Bacilli-Lactobacillales-Carnobacteriaceae-Granulicatella-Granulicatella-adiacens	otu122
JN801174-1-1440-Bacteria-Firmicutes-Bacilli-Lactobacillales-Carnobacteriaceae-Granulicatella-Granulicatella-elegans	otu123
Y17780-1-1385-Bacteria-Firmicutes-Bacilli-Lactobacillales-Aerococcaceae-Eremococcus-Eremococcus-coleocola	otu124
LN871828-1-1497-Bacteria-Firmicutes-Bacilli-Lactobacillales-Aerococcaceae-Abiotrophia-Abiotrophia-defectiva	otu125
MF428570-1-1340-Bacteria-Firmicutes-Bacilli-Lactobacillales-Aerococcaceae-Aerococcus-Aerococcus-viridans	otu126
MF424588-1-1435-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Weissella-Weissella-cibaria	otu127
AB022924-1-1471-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Oenococcus-Oenococcus-oeni	otu128
JN409461-1-1452-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Leuconostoc-Leuconostoc-mesenteroides	otu129
NR_074997-2-Leuconostoc-gasicomitatum-strain-TB-1-10-16S-ribosomal-RNA-complete-sequence	otu130
MF354298-1-1373-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Leuconostoc-Leuconostoc-citreum	otu131
FJ040198-1-1486-Bacteria-Firmicutes-Bacilli-Lactobacillales-Lactobacillaceae-Leuconostoc-Leuconostoc-kimchii	otu132
JN162117-1-1343-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Lactococcus-Lactococcus-garvieae	otu133
BH771024-532-2058-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Lactococcus-Lactococcus-lactis-subsp-cremoris-MG1363	otu134
JN561300-1-1318-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-gallolyticus-subsp-macedonicus	otu135
AB002514-1-1258-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-equinus	otu136
JN561298-1-1406-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-infantarius	otu137
AB002525-1-1457-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-suis	otu138
JN578452-1-1471-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-pseudoporcinus	otu139
AB002527-1-1493-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-uberis	otu140
AB002521-1-1393-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-pyogenes	otu141
AB002517-1-1500-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-sp-group-G	otu142
AB002496-1-1507-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-dysgalactiae	otu143
AB002479-1-1450-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-agalactiae	otu144
AB006125-1-1294-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-parasanguinis	otu145
AB002522-1-1416-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-pneumoniae	otu146
AB008315-1-1338-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-infantis	otu147
DD411301-1-1428-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-oralis	otu148
AJ427479-1-1457-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-gordonii	otu149
AB002520-1-1377-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-mitis	otu150
AB002524-1-1358-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-sanguinis	otu151
AY188353-1-1538-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-vestibularis	otu152
FR875178-1731239-1732774-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-thermophilus-JIM-8232	otu153
JN561296-1-1391-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-salivarius-subsp-thermophilus	otu154
AJ243965-1-1512-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-mutans	otu155
AY188350-1-1548-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-downei	otu156
AB006120-1-1355-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-anginosus	otu157
AB002516-1-1450-Bacteria-Firmicutes-Bacilli-Lactobacillales-Streptococcaceae-Streptococcus-Streptococcus-equi	otu158
AB030221-1-1488-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelatoclostridiaceae-Catenibacterium-Catenibacterium-mitsuokai	otu159
NR_114393-1-Clostridium-spiroforme-strain-JCM-1432-16S-ribosomal-RNA-partial-sequence	otu160
M23731-1-Clostridium-ramosum-16S-ribosomal-RNA-small-subunit	otu161
LF133707-2-1383-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelatoclostridiaceae-Erysipelatoclostridium-Coprobacillus-sp-D7	otu162
NR_044731-2-Eubacterium-biforme-strain-DSM-3989-16S-ribosomal-RNA-partial-sequence	otu163
NR_044647-2-Eubacterium-dolichum-DSM-3991-strain-ATCC-29143-16S-ribosomal-RNA-partial-sequence	otu164
Z36271-1-1401-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelotrichaceae-Bulleidia-Bulleidia-extructa	otu165
AB218311-1-1447-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelotrichaceae-Solobacterium-uncultured-Erysipelotrichaceae-bacterium	otu166
KP063151-1-1393-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelotrichaceae-Erysipelothrix-Erysipelothrix-rhusiopathiae	otu167
Y11466-1-1391-Bacteria-Firmicutes-Bacilli-Erysipelotrichales-Erysipelotrichaceae-Holdemania-Holdemania-filiformis	otu168
JN935890-1-1578-Bacteria-Firmicutes-Bacilli-Acholeplasmatales-Acholeplasmataceae-Acholeplasma-Acholeplasma-laidlawii	otu169
KJ848639-1-1806-Bacteria-Firmicutes-Bacilli-Acholeplasmatales-Acholeplasmataceae-Candidatus-Phytoplasma-Candidatus-Phytoplasma-australiense	otu170
JN563610-1-1241-Bacteria-Firmicutes-Bacilli-Acholeplasmatales-Acholeplasmataceae-Candidatus-Phytoplasma-Candidatus-Phytoplasma-mali	otu171
JN836942-1-1245-Bacteria-Firmicutes-Bacilli-Acholeplasmatales-Acholeplasmataceae-Candidatus-Phytoplasma-Aster-yellows-phytoplasma	otu172
MG519854-1-1249-Bacteria-Firmicutes-Bacilli-Acholeplasmatales-Acholeplasmataceae-Candidatus-Phytoplasma-Onion-yellows-phytoplasma	otu173
X63781-329-1858-Bacteria-Firmicutes-Bacilli-Entomoplasmatales-Spiroplasmataceae-Spiroplasma-Spiroplasma-citri	otu174
AB681225-1-1450-Bacteria-Firmicutes-Bacilli-Entomoplasmatales-Entomoplasmataceae-Mesoplasma-Mesoplasma-florum	otu175
X00921-136-1656-Bacteria-Firmicutes-Bacilli-Entomoplasmatales-Entomoplasmataceae-Mycoplasma-group-Mycoplasma-capricolum	otu176
FR668087-234880-236334-Bacteria-Firmicutes-Bacilli-Entomoplasmatales-Entomoplasmataceae-Mycoplasma-group-Mycoplasma-leachii-99-014-6	otu177
NR_074703-2-Mycoplasma-mycoides-subsp-mycoides-strain-PG1-16S-ribosomal-RNA-complete-sequence	otu178
CP002027-95457-96980-Bacteria-Firmicutes-Bacilli-Entomoplasmatales-Entomoplasmataceae-Mycoplasma-group-synthetic-Mycoplasma-mycoides-JCVI-syn1-0	otu179
AE015450-334211-335715-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-gallisepticum-str-R-low-	otu180
NR_074611-1-Mycoplasma-genitalium-strain-G-37-16S-ribosomal-RNA-partial-sequence	otu181
CP000925-170133-171651-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-synthetic-Mycoplasma-genitalium-JCVI-1-0	otu182
AP012303-118315-119827-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-pneumoniae-309	otu183
BA000026-1236542-1237995-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-penetrans-HF-2	otu184
HW579445-1-1437-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Ureaplasma-Ureaplasma-parvum	otu185
BD412349-1-1437-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Ureaplasma-Ureaplasma-urealyticum	otu186
CP001047-191404-193931-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-arthritidis-158L3-1	otu187
JN935871-1-1523-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-hominis-ATCC-23114	otu188
AP009608-905067-906579-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-fermentans-PG18	otu189
M24290-1-1460-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-agalactiae-PG2	otu190
CP002513-684491-686010-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-bovis-Hubei-1	otu191
AE017245-778170-779699-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-synoviae-53	otu192
ADNC01000027-256301-257789-Bacteria-Firmicutes-Bacilli-Mycoplasmatales-Mycoplasmataceae-Mycoplasma-Mycoplasma-alligatoris-A21JP2	otu193
